"komu" "ile" "kto" "kto_klub" "komu_klub"
"77" "Krystyna Pawłowicz" 8 "Andrzej Jaworski" "PiS" "PiS"
"78" "Krystyna Skowrońska" 2 "Andrzej Jaworski" "PiS" "PO"
"79" "Magdalena Kochan" 3 "Andrzej Jaworski" "PiS" "PO"
"80" "Rafał Grupiński" 5 "Andrzej Jaworski" "PiS" "PO"
"81" "Robert Telus" 1 "Andrzej Jaworski" "PiS" "PiS"
"82" "Urszula Augustyn" 1 "Andrzej Jaworski" "PiS" "PO"
"83" "Cezary Grabarczyk" 2 "Arkadiusz Myrcha" "PO" "PO"
"84" "Elżbieta Witek" 1 "Arkadiusz Myrcha" "PO" "PiS"
"85" "Ewa Kopacz" 1 "Arkadiusz Myrcha" "PO" "PO"
"86" "Joanna Borowiak" 2 "Arkadiusz Myrcha" "PO" "PiS"
"87" "Jolanta Szczypińska" 1 "Arkadiusz Myrcha" "PO" "PiS"
"88" "Józefa Szczurek-Żelazko" 1 "Arkadiusz Myrcha" "PO" "PiS"
"89" "Krystyna Pawłowicz" 8 "Arkadiusz Myrcha" "PO" "PiS"
"90" "Marek Suski" 2 "Arkadiusz Myrcha" "PO" "PiS"
"91" "Marzena Machałek" 1 "Arkadiusz Myrcha" "PO" "PiS"
"92" "Piotr Kaleta" 1 "Arkadiusz Myrcha" "PO" "PiS"
"93" "Rafał Grupiński" 2 "Arkadiusz Myrcha" "PO" "PO"
"94" "Stanisław Piotrowicz" 2 "Arkadiusz Myrcha" "PO" "PiS"
"95" "Wojciech Szarama" 1 "Arkadiusz Myrcha" "PO" "PiS"
"96" "Zbigniew Dolata" 1 "Arkadiusz Myrcha" "PO" "PiS"
"97" "Andrzej Halicki" 3 "Michał Wójcik" "PiS" "PO"
"98" "Arkadiusz Myrcha" 19 "Michał Wójcik" "PiS" "PO"
"99" "Barbara Dolniak" 2 "Michał Wójcik" "PiS" "N"
"100" "Borys Budka" 3 "Michał Wójcik" "PiS" "PO"
"101" "Danuta Pietraszewska" 2 "Michał Wójcik" "PiS" "PO"
"102" "Ewa Kopacz" 5 "Michał Wójcik" "PiS" "PO"
"103" "Grzegorz Długi" 3 "Michał Wójcik" "PiS" "Kukiz15"
"104" "Grzegorz Schetyna" 1 "Michał Wójcik" "PiS" "PO"
"105" "Iwona Arent" 7 "Michał Wójcik" "PiS" "PiS"
"106" "Jakub Rutnicki" 1 "Michał Wójcik" "PiS" "PO"
"107" "Joanna Schmidt" 1 "Michał Wójcik" "PiS" "N"
"108" "Krystyna Pawłowicz" 21 "Michał Wójcik" "PiS" "PiS"
"109" "Krystyna Skowrońska" 2 "Michał Wójcik" "PiS" "PO"
"110" "Magdalena Kochan" 7 "Michał Wójcik" "PiS" "PO"
"111" "Małgorzata Kidawa-Błońska" 1 "Michał Wójcik" "PiS" "PO"
"112" "Paweł Olszewski" 1 "Michał Wójcik" "PiS" "PO"
"113" "Piotr Kaleta" 1 "Michał Wójcik" "PiS" "PiS"
"114" "Rafał Grupiński" 4 "Michał Wójcik" "PiS" "PO"
"115" "Robert Kropiwnicki" 13 "Michał Wójcik" "PiS" "PO"
"116" "Stefan Niesiołowski" 3 "Michał Wójcik" "PiS" "PO"
"117" "Tadeusz Aziewicz" 1 "Michał Wójcik" "PiS" "PO"
"118" "Wojciech Skurkiewicz" 1 "Michał Wójcik" "PiS" "PiS"
"119" "Anna Paluch" 6 "Krzysztof Paszyk" "PSL" "PiS"
"120" "Arkadiusz Czartoryski" 1 "Krzysztof Paszyk" "PSL" "PiS"
"121" "Cezary Grabarczyk" 2 "Krzysztof Paszyk" "PSL" "PO"
"122" "Dominik Tarczyński" 1 "Krzysztof Paszyk" "PSL" "PiS"
"123" "Grzegorz Schetyna" 1 "Krzysztof Paszyk" "PSL" "PO"
"124" "Iwona Arent" 2 "Krzysztof Paszyk" "PSL" "PiS"
"125" "Jolanta Szczypińska" 1 "Krzysztof Paszyk" "PSL" "PiS"
"126" "Krystyna Pawłowicz" 3 "Krzysztof Paszyk" "PSL" "PiS"
"127" "Marek Ast" 1 "Krzysztof Paszyk" "PSL" "PiS"
"128" "Marek Suski" 1 "Krzysztof Paszyk" "PSL" "PiS"
"129" "Piotr Kaleta" 7 "Krzysztof Paszyk" "PSL" "PiS"
"130" "Ryszard Terlecki" 1 "Krzysztof Paszyk" "PSL" "PiS"
"131" "Waldemar Andzel" 3 "Krzysztof Paszyk" "PSL" "PiS"
"132" "Władysław Kosiniak-Kamysz" 1 "Krzysztof Paszyk" "PSL" "PSL"
"133" "Wojciech Skurkiewicz" 1 "Krzysztof Paszyk" "PSL" "PiS"
"134" "Rafał Grupiński" 1 "Marcin Horała" "PiS" "PO"
"135" "Henryk Kowalczyk" 1 "Joanna Frydrych" "PO" "PiS"
"136" "Piotr Kaleta" 1 "Joanna Frydrych" "PO" "PiS"
"137" "Anna Kwiecień" 2 "Joanna Scheuring-Wielgus" "N" "PiS"
"138" "Anna Paluch" 1 "Joanna Scheuring-Wielgus" "N" "PiS"
"139" "Arkadiusz Czartoryski" 1 "Joanna Scheuring-Wielgus" "N" "PiS"
"140" "Arkadiusz Myrcha" 2 "Joanna Scheuring-Wielgus" "N" "PO"
"141" "Cezary Grabarczyk" 1 "Joanna Scheuring-Wielgus" "N" "PO"
"142" "Iwona Arent" 1 "Joanna Scheuring-Wielgus" "N" "PiS"
"143" "Izabela Kloc" 3 "Joanna Scheuring-Wielgus" "N" "PiS"
"144" "Izabela Leszczyna" 1 "Joanna Scheuring-Wielgus" "N" "PO"
"145" "Jakub Rutnicki" 2 "Joanna Scheuring-Wielgus" "N" "PO"
"146" "Joanna Scheuring-Wielgus przemawia przy wyłączonym mikrofonie" 1 "Joanna Scheuring-Wielgus" "N" "N"
"147" "Jolanta Szczypińska" 1 "Joanna Scheuring-Wielgus" "N" "PiS"
"148" "Kamila Gasiuk-Pihowicz" 4 "Joanna Scheuring-Wielgus" "N" "N"
"149" "Krystyna Pawłowicz" 16 "Joanna Scheuring-Wielgus" "N" "PiS"
"150" "Magdalena Kochan" 1 "Joanna Scheuring-Wielgus" "N" "PO"
"151" "Małgorzata Kidawa-Błońska" 1 "Joanna Scheuring-Wielgus" "N" "PO"
"152" "Marek Jakubiak" 5 "Joanna Scheuring-Wielgus" "N" "Kukiz15"
"153" "Marzena Machałek" 2 "Joanna Scheuring-Wielgus" "N" "PiS"
"154" "Patryk Jaki" 1 "Joanna Scheuring-Wielgus" "N" "PiS"
"155" "Piotr Kaleta" 7 "Joanna Scheuring-Wielgus" "N" "PiS"
"156" "Rafał Grupiński" 1 "Joanna Scheuring-Wielgus" "N" "PO"
"157" "Ryszard Petru" 1 "Joanna Scheuring-Wielgus" "N" "N"
"158" "Stanisław Piotrowicz" 1 "Joanna Scheuring-Wielgus" "N" "PiS"
"159" "Sylwester Tułajew" 3 "Joanna Scheuring-Wielgus" "N" "PiS"
"160" "Wojciech Skurkiewicz" 1 "Joanna Scheuring-Wielgus" "N" "PiS"
"161" "Zbigniew Dolata" 1 "Joanna Scheuring-Wielgus" "N" "PiS"
"162" "Stanisław Piotrowicz" 1 "Wojciech Wilk" "PO" "PiS"
